item_id,user_id,country,item_category,brand,price_eur,date_posted,date_sold,shipping_type,likes_count,user_rating
10000,u8270,Netherlands,Jackets,Balenciaga,39.72,2024-05-01,2024-05-12,Drop-off,5,5.0
10001,u7949,Germany,Dresses,Levi’s,51.94,2024-09-09,2024-09-26,Drop-off,4,5.0
10002,u3734,Poland,Sneakers,H&M,68.39,2024-05-10,,Drop-off,5,4.7
10003,u3612,Germany,Dresses,H&M,14.68,2025-05-23,,Drop-off,6,4.4
10004,u7873,Netherlands,Jeans,Nike,33.28,2024-09-27,2024-10-20,Standard,9,4.9
10005,u9006,France,Tops,H&M,39.54,2025-02-22,,Standard,7,4.1
10006,u9996,Lithuania,Dresses,Gucci,28.92,2025-04-06,,Standard,5,4.9
10007,u2484,Lithuania,Tops,H&M,56.91,2025-04-29,2025-05-12,Drop-off,3,4.7
10008,u4157,Netherlands,Jeans,Nike,37.52,2024-01-28,2024-02-17,Pickup,5,5.0
10009,u2306,Poland,Tops,H&M,9.76,2025-03-31,2025-04-05,Standard,4,4.1
10010,u4304,Netherlands,Tops,Gucci,29.72,2024-04-22,2024-05-16,Standard,3,3.8
10011,u6855,France,Tops,Adidas,35.07,2025-02-19,2025-03-14,Drop-off,8,5.0
10012,u5282,Poland,Jackets,Adidas,55.6,2025-02-06,2025-02-25,Drop-off,4,4.8
10013,u9155,France,Tops,Nike,42.2,2024-12-11,,Standard,5,4.0
10014,u4170,Lithuania,Sneakers,H&M,33.76,2025-02-23,,Pickup,1,4.6
10015,u1098,France,Jackets,Nike,32.62,2024-06-11,2024-06-20,Standard,2,4.0
10016,u7015,Lithuania,Tops,Zara,39.51,2025-04-14,2025-04-28,Pickup,8,5.0
10017,u8996,Lithuania,Dresses,Adidas,29.83,2024-02-15,,Drop-off,6,4.6
10018,u1980,France,Sneakers,Nike,40.65,2024-11-18,2024-12-12,Pickup,8,4.5
10019,u6596,Germany,Jeans,Adidas,39.85,2025-05-20,2025-05-24,Standard,2,3.9
10020,u7002,Netherlands,Jeans,Nike,58.34,2024-02-20,2024-03-20,Pickup,2,4.2
10021,u4854,Poland,Sneakers,H&M,44.5,2024-01-05,2024-01-11,Standard,4,4.3
10022,u5465,Netherlands,Jeans,Gucci,28.39,2024-02-27,2024-03-03,Pickup,5,4.3
10023,u8805,Poland,Tops,Levi’s,35.66,2024-09-03,2024-09-29,Drop-off,2,5.0
10024,u6188,France,Bags,Gucci,21.76,2024-09-10,2024-10-03,Pickup,3,4.9
10025,u7905,Lithuania,Jeans,Zara,59.0,2024-01-16,2024-02-08,Pickup,4,4.7
10026,u3427,France,Tops,Levi’s,40.3,2025-02-20,2025-03-03,Standard,2,4.5
10027,u9945,Lithuania,Tops,Nike,43.27,2025-02-21,2025-02-28,Pickup,10,4.3
10028,u6073,France,Bags,Levi’s,41.47,2024-10-05,,Standard,5,4.1
10029,u1395,Spain,Tops,Adidas,25.93,2025-01-18,2025-02-13,Drop-off,2,4.3
10030,u6588,Netherlands,Jackets,Balenciaga,24.86,2024-02-11,,Pickup,5,4.6
10031,u8241,Germany,Dresses,Zara,23.5,2024-07-12,2024-07-17,Pickup,8,4.6
10032,u7588,Netherlands,Bags,Balenciaga,42.86,2024-02-08,2024-02-21,Standard,8,4.4
10033,u2531,France,Tops,Zara,33.36,2024-08-16,2024-09-04,Standard,7,4.5
10034,u2353,Poland,Dresses,H&M,15.19,2024-03-30,2024-04-27,Pickup,4,4.3
10035,u6320,France,Jackets,H&M,7.28,2025-06-30,,Pickup,6,4.8
10036,u2015,France,Bags,Zara,35.11,2024-10-08,2024-10-30,Drop-off,5,4.5
10037,u3000,Spain,Jackets,Gucci,32.5,2025-04-02,2025-04-23,Pickup,3,4.8
10038,u5544,France,Jeans,H&M,3.0,2024-11-01,,Pickup,6,4.4
10039,u5673,Lithuania,Sneakers,Balenciaga,45.88,2024-11-30,2024-12-02,Standard,8,3.8
10040,u4579,Netherlands,Jackets,Nike,7.15,2024-05-05,2024-05-21,Drop-off,2,5.0
10041,u7238,Lithuania,Bags,H&M,22.29,2024-07-13,,Drop-off,3,4.1
10042,u6124,Germany,Dresses,Nike,28.39,2024-12-11,,Standard,5,4.1
10043,u7493,Lithuania,Jackets,Zara,42.77,2024-09-09,,Drop-off,6,4.3
10044,u6126,Lithuania,Bags,Adidas,15.42,2025-05-20,2025-06-08,Drop-off,4,4.5
10045,u7229,Germany,Bags,H&M,19.46,2024-01-25,2024-01-28,Standard,5,4.0
10046,u7738,Germany,Tops,Levi’s,50.94,2025-03-18,2025-03-31,Pickup,3,4.0
10047,u6622,Netherlands,Bags,Adidas,32.61,2024-03-15,,Pickup,10,4.9
10048,u9915,France,Dresses,Zara,57.7,2024-11-15,2024-11-26,Drop-off,3,4.6
10049,u1009,Spain,Jeans,H&M,39.4,2024-11-16,2024-11-25,Standard,4,4.1
10050,u2604,Poland,Dresses,H&M,40.26,2025-04-03,,Drop-off,4,4.4
10051,u7413,Netherlands,Bags,Adidas,35.92,2025-01-13,2025-01-17,Standard,6,4.3
10052,u6142,France,Tops,Zara,26.41,2024-04-13,2024-05-02,Pickup,7,4.8
10053,u1419,Spain,Bags,Zara,13.63,2024-10-15,2024-11-06,Pickup,6,4.2
10054,u8863,Spain,Jackets,Levi’s,41.35,2024-05-09,2024-05-28,Drop-off,7,4.1
10055,u1345,Poland,Sneakers,H&M,25.97,2025-04-04,2025-04-20,Standard,9,4.3
10056,u6732,Spain,Jeans,Gucci,36.28,2024-01-01,,Drop-off,5,4.3
10057,u8970,Netherlands,Tops,Nike,26.55,2024-07-28,2024-08-24,Standard,3,4.8
10058,u2990,Netherlands,Bags,Levi’s,26.54,2024-03-03,2024-03-29,Pickup,5,4.8
10059,u7704,France,Jackets,Gucci,18.26,2024-11-13,2024-12-12,Standard,3,4.8
10060,u6490,Germany,Jeans,Gucci,3.0,2024-09-20,,Drop-off,10,4.0
10061,u9519,Poland,Tops,Balenciaga,44.44,2024-09-20,2024-10-14,Pickup,7,4.6
10062,u5425,France,Jackets,Adidas,50.51,2025-06-06,2025-06-08,Drop-off,6,4.9
10063,u6619,Germany,Bags,H&M,44.58,2024-05-07,2024-05-25,Drop-off,6,4.5
10064,u7809,Germany,Jackets,Levi’s,46.55,2024-05-25,2024-06-04,Standard,5,5.0
10065,u3074,France,Bags,Adidas,54.31,2025-03-30,2025-04-16,Pickup,6,5.0
10066,u6490,Germany,Jackets,Levi’s,26.62,2024-04-22,2024-04-30,Drop-off,5,5.0
10067,u9942,Netherlands,Sneakers,Adidas,33.54,2025-05-21,2025-05-23,Standard,2,4.6
10068,u6136,France,Tops,Levi’s,20.6,2024-02-08,2024-02-26,Standard,0,5.0
10069,u4549,Poland,Jeans,H&M,19.09,2024-01-17,,Drop-off,9,4.4
10070,u6387,Lithuania,Jeans,Zara,36.44,2024-03-26,,Pickup,3,4.6
10071,u2500,Germany,Bags,H&M,23.02,2025-05-04,2025-05-18,Drop-off,7,4.9
10072,u7640,Netherlands,Jackets,Gucci,45.48,2024-01-16,2024-01-28,Pickup,3,3.9
10073,u4810,Lithuania,Bags,H&M,29.64,2024-09-28,,Drop-off,3,4.3
10074,u4760,Lithuania,Jackets,Gucci,41.79,2024-05-25,2024-06-19,Standard,2,4.3
10075,u9056,Netherlands,Dresses,Adidas,27.51,2025-03-15,,Drop-off,6,4.2
10076,u4564,Poland,Jeans,Adidas,22.24,2025-05-20,,Pickup,6,4.3
10077,u3466,Germany,Jeans,Gucci,63.54,2024-03-29,2024-04-12,Standard,3,4.2
10078,u2218,France,Jeans,H&M,28.96,2025-06-20,2025-07-17,Pickup,5,4.4
10079,u4020,Netherlands,Jackets,Levi’s,29.75,2024-08-11,2024-08-30,Pickup,8,5.0
10080,u2704,Spain,Sneakers,Levi’s,46.0,2024-07-09,2024-08-06,Drop-off,4,5.0
10081,u3719,Lithuania,Jackets,Gucci,53.51,2025-06-07,2025-06-20,Pickup,4,4.6
10082,u2007,Poland,Sneakers,Gucci,29.3,2025-02-15,2025-02-20,Standard,7,4.4
10083,u9213,Germany,Sneakers,Nike,35.51,2024-01-07,2024-01-08,Pickup,3,4.3
10084,u4356,Netherlands,Tops,Adidas,11.55,2024-06-05,2024-06-07,Drop-off,7,4.4
10085,u5179,Poland,Sneakers,Zara,3.0,2025-06-10,2025-06-13,Standard,10,4.3
10086,u1959,Netherlands,Jackets,H&M,54.57,2025-06-04,2025-06-29,Drop-off,6,5.0
10087,u2389,Poland,Sneakers,Levi’s,33.87,2024-03-28,2024-04-09,Standard,2,4.7
10088,u3720,Germany,Jeans,H&M,30.94,2024-04-25,2024-05-02,Pickup,4,4.2
10089,u9619,France,Sneakers,Levi’s,57.18,2024-09-20,,Pickup,8,4.6
10090,u8867,Germany,Bags,Adidas,39.75,2025-06-07,2025-06-20,Drop-off,6,5.0
10091,u4665,Poland,Jeans,Adidas,30.57,2024-02-04,2024-02-26,Drop-off,6,4.5
10092,u4453,Netherlands,Dresses,Nike,33.37,2025-02-23,2025-02-25,Pickup,7,4.9
10093,u3958,France,Sneakers,Nike,37.41,2024-10-24,2024-11-07,Pickup,6,4.6
10094,u4155,Germany,Bags,Zara,35.61,2024-03-06,,Standard,5,4.5
10095,u1629,Poland,Jeans,Levi’s,44.94,2024-09-13,2024-09-21,Drop-off,6,4.3
10096,u4568,Netherlands,Dresses,Balenciaga,25.45,2024-11-29,2024-12-04,Pickup,1,4.7
10097,u5293,Spain,Jackets,Adidas,31.18,2024-07-24,2024-08-13,Standard,2,3.7
10098,u8473,Spain,Tops,Balenciaga,44.97,2024-06-26,2024-07-02,Drop-off,2,3.3
10099,u1891,Germany,Jackets,Zara,19.19,2024-12-23,,Pickup,4,4.7
10100,u8705,France,Dresses,Adidas,32.96,2024-01-01,2024-01-17,Pickup,5,4.7
10101,u6704,France,Tops,Zara,34.82,2024-06-07,2024-06-11,Pickup,8,4.7
10102,u1454,France,Jackets,Balenciaga,50.07,2024-05-22,2024-06-19,Standard,4,5.0
10103,u8010,Poland,Bags,Nike,30.04,2024-03-25,,Pickup,2,5.0
10104,u1011,Spain,Jeans,Levi’s,27.75,2024-02-12,,Pickup,6,3.8
10105,u7542,France,Dresses,Adidas,11.74,2024-05-20,2024-05-22,Pickup,5,4.3
10106,u8311,Germany,Dresses,Gucci,15.16,2024-03-30,2024-04-10,Drop-off,4,4.9
10107,u9105,Spain,Jeans,H&M,17.66,2025-01-19,2025-02-01,Pickup,1,4.4
10108,u8285,Spain,Bags,H&M,19.47,2024-01-10,2024-02-04,Standard,10,4.2
10109,u1482,Netherlands,Jeans,Zara,27.22,2025-03-07,2025-03-10,Drop-off,6,4.4
10110,u7780,France,Tops,Adidas,34.54,2024-10-14,2024-10-28,Standard,4,4.3
10111,u1707,Spain,Tops,H&M,33.51,2024-08-17,2024-08-20,Pickup,3,3.9
10112,u6291,Germany,Bags,Zara,29.82,2024-04-25,2024-05-07,Pickup,5,4.5
10113,u1632,Netherlands,Tops,H&M,29.7,2025-06-25,2025-07-23,Drop-off,7,4.7
10114,u5895,France,Jackets,H&M,40.62,2025-04-25,2025-05-08,Pickup,5,4.9
10115,u2689,Netherlands,Jeans,Balenciaga,36.74,2024-05-22,,Standard,8,4.3
10116,u8693,France,Jackets,Adidas,38.05,2025-04-10,,Pickup,8,4.1
10117,u3530,France,Bags,Zara,18.01,2025-06-20,2025-07-03,Standard,4,4.6
10118,u5349,Germany,Dresses,Balenciaga,26.8,2025-01-16,,Standard,4,5.0
10119,u2179,Poland,Bags,Adidas,38.23,2024-09-16,2024-09-24,Standard,3,4.1
10120,u5517,Germany,Jackets,H&M,55.72,2025-04-27,2025-05-25,Pickup,3,4.1
10121,u5481,Poland,Sneakers,Levi’s,21.81,2025-02-26,2025-03-11,Standard,4,4.7
10122,u9656,Lithuania,Tops,H&M,29.85,2024-07-01,2024-07-05,Pickup,6,5.0
10123,u3672,France,Tops,Zara,27.03,2024-08-29,2024-09-26,Standard,6,4.3
10124,u8340,Lithuania,Jackets,H&M,60.2,2024-07-18,2024-07-29,Standard,1,4.6
10125,u3711,France,Jackets,H&M,17.96,2024-12-31,,Drop-off,6,5.0
